ID#,State,LOT,Information[Bedroom],Type,Informative[Rooms],Built,Internet,Water,Information[Zestimate],SecMtg 2,SecMtgStat2,FamEmp 2,ChildAge 2,Language,Family,Grandparent,SSMC,English,Multigen,Move,Nchildren,Npersons Imputation,Partner,Under18,Over60,Over65,Workers 2,WkExp 2,WkStatus 2,Vehicles,HiValue,Validation
5319,42,2,3.257647776,2,7.334741026,6,1,2,278415.0643,0,,3,4,1,1,0,0,1,1,6,0,2,0,0,1,0,1,3,7,3,0,Validation
5320,24,1,3.257647776,3,7.334741026,3,1,480,200000,0,3,2,4,1,1,0,0,1,1,7,0,2,0,0,1,0,1,8,3,1,1,Training
5321,42,1,3.257647776,1,7.334741026,6,3,40,278415.0643,0,,,,1,4,0,0,1,1,6,0,2.557365399,0,0,0,0,,,,2,0,Training
5322,42,1,3,2,6,7,3,1500,190000,0,,,,1,6,0,0,1,1,6,0,2.39521141,0,0,1,1,,,,1,0,Training
5323,42,1,2,2,5,1,3,1500,70000,0,,,,1,6,0,0,1,1,6,0,2.222767687,0,0,1,0,,,,1,0,Test
5324,42,2,3,2,11,5,1,810,250000,0,,,,1,6,0,0,1,1,7,0,2.446748484,0,0,1,1,,,,2,0,Training
5325,42,1,3,2,7.334741026,1,1,90,72000,0,,,,1,5,1,0,1,1,5,0,2.38494992,2,1,1,0,,,,1,0,Validation
5326,42,1,4,3,8,3,1,720,170000,0,3,1,9,1,1,0,0,1,1,3,9,9,0,1,0,0,2,1,1,1,0,Test
5327,42,2,4,2,10,7,1,2,180000,0,,3,9,1,1,0,0,1,1,5,9,9,0,0,2,0,1,3,7,2,0,Test
5328,42,2,2,2,6,1,1,2,150000,0,,,,1,5,0,0,1,1,3,0,2.339466675,0,0,0,0,,,,2,0,Test
5329,24,1,3,2,13,8,1,750,300000,0,,4,4,1,1,0,0,1,1,5,0,2,0,0,2,2,0,9,9,3,0,Training
5330,42,1,3,2,9,4,1,200,80000,,,,,1,5,0,0,1,1,3,0,2.497894456,2,0,0,0,,,,2,0,Training
5331,42,2,4,2,8,10,1,2,240000,0,3,1,1,1,1,0,0,1,1,3,1,3,0,1,0,0,2,4,1,2,0,Test
5332,24,2,3,2,6,5,2,2,275000,1,2,,,1,4,0,0,1,1,4,0,2.953469714,0,0,0,0,,,,5,0,Training
5333,42,1,3.257647776,3,7.334741026,2,1,890,278415.0643,0,,3,4,4,1,0,0,2,1,6,0,3,0,0,2,1,2,7,7,1,0,Test
5334,42,1,4,2,10,7,1,1200,630000,1,2,2,4,1,1,0,0,1,1,6,0,2,0,0,1,1,1,6,3,0,1,Test
5335,42,1,3.257647776,1,7.334741026,7,1,360,278415.0643,0,,3,4,1,1,0,0,1,1,6,0,2,0,0,2,2,1,6,7,3,0,Test
5336,42,2,3,2,7,5,3,2,200000,0,,,,1,5,0,0,1,1,6,0,2.235617567,2,0,2,1,,,,0,0,Training
5337,42,1,3.257647776,2,7.334741026,1,1,720,278415.0643,0,3,1,2,2,1,1,0,1,2,4,0,6,0,1,2,0,3,1,1,2,0,Test
5338,42,,3.257647776,9,7.334741026,4,1,1,278415.0643,0,3,,,1,6,0,0,1,1,4,0,2.415609119,0,0,0,0,,,,1,0,Validation
5339,24,1,3.257647776,2,7.334741026,2,3,550,278415.0643,0,,,,1,6,0,0,1,1,6,0,2.415609119,0,0,0,0,,,,1,0,Training
5340,42,1,3.257647776,2,7.334741026,5,1,1100,278415.0643,0,,1,2,1,1,0,0,1,1,3,2,4,0,1,0,0,2,1,1,2,0,Test
5341,42,2,2,2,8,3,1,500,169000,0,,1,4,1,1,0,0,1,1,3,0,3,0,0,1,1,2,1,1,3,0,Test
5342,42,2,3,2,5,4,1,2,85000,0,3,2,4,1,1,0,0,1,1,7,0,3,0,0,2,0,2,3,3,3,0,Training
5343,24,2,4,2,5,12,1,2,1500000,0,3,4,4,1,1,0,0,1,1,4,0,2,0,0,1,0,0,9,9,2,1,Training
5344,42,2,3.257647776,2,7.334741026,6,1,2,278415.0643,0,,,,1,4,0,0,1,1,7,0,2.415609119,0,0,1,1,,,,1,0,Test
5345,42,2,4,2,6,7,1,2,240000,0,3,1,4,1,1,0,0,1,1,6,0,2,0,0,0,0,2,4,1,2,0,Training
5346,24,1,2,2,6,1,3,350,200000,0,3,,,1,6,0,0,1,1,6,0,2.334309726,0,0,1,0,,,,2,0,Training
5347,42,1,3,2,7,5,1,2,183000,0,,4,4,1,1,0,0,1,1,7,0,2,0,0,2,2,0,9,9,2,0,Training
5348,42,1,3.257647776,3,7.334741026,5,1,450,278415.0643,0,3,,,1,6,0,0,1,1,1,0,2.415609119,0,0,0,0,,,,1,0,Training
5349,42,1,3.257647776,2,7.334741026,1,1,1500,278415.0643,0,,4,4,1,1,0,0,1,1,7,0,3,0,0,2,2,0,9,9,2,0,Validation
5350,24,2,4,2,9,7,1,360,525000,0,,,,1,6,0,0,1,1,6,9,9.136044214,0,0,1,0,,,,1,0,Training
5351,24,1,4,2,9,1,1,400,200000,0,,,,3,6,0,0,1,1,7,0,2.545388073,0,0,1,1,,,,1,0,Training
5352,42,1,3.257647776,2,7.334741026,3,1,1100,278415.0643,0,3,1,3,1,1,0,0,1,1,3,2,4,0,1,0,0,2,1,1,2,0,Training
5353,24,1,3,2,7,3,1,2,155000,0,,4,4,1,1,0,0,1,1,7,0,2,0,0,2,2,0,9,9,2,0,Test
5354,42,1,4,2,7,7,1,800,500000,0,3,2,4,1,1,0,0,1,1,6,0,3,0,0,1,1,2,3,3,3,1,Validation
5355,42,1,3.257647776,2,7.334741026,4,1,400,278415.0643,1,2,1,1,1,1,0,0,1,1,4,1,3,0,1,0,0,2,2,1,2,0,Test
5356,42,3,5,2,9,1,1,2,100000,0,,8,4,1,3,0,0,1,1,7,0,2,0,0,1,1,1,15,15,3,0,Training
5357,24,1,3,3,7,5,1,400,290000,0,3,5,4,1,2,0,0,1,1,4,0,2,0,0,0,0,1,10,10,3,0,Training
5358,42,1,3.257647776,2,7.334741026,4,1,420,278415.0643,0,,1,3,1,1,0,0,1,1,3,2,4,0,1,0,0,2,1,1,3,0,Validation
5359,42,1,3,2,6,4,1,900,139000,0,,4,4,1,1,0,0,1,1,7,0,2,0,0,2,2,0,9,9,1,0,Validation
5360,42,1,3,1,8,4,1,20,175000,0,3,1,4,1,1,0,0,1,1,3,0,3,0,0,0,0,3,1,1,1,0,Training
5361,24,1,3,2,5,4,1,2,140000,0,3,,,1,6,0,0,1,1,7,0,2.417174532,0,0,1,1,,,,1,0,Test
5362,42,1,3,2,6,7,1,110,200000,1,2,5,2,1,2,0,0,1,1,4,1,2,0,1,0,0,1,10,10,1,0,Training
5363,24,2,2,2,8,6,1,200,175000,0,3,1,4,4,1,0,0,1,1,5,0,3,0,0,0,0,2,1,1,3,1,Test
5364,24,1,4,2,8,1,3,970,200000,0,3,7,9,1,3,0,0,1,1,4,9,9,0,1,0,0,1,13,13,1,0,Training
5365,42,,0,5,1,4,1,130,250000,0,,,,1,4,0,0,1,1,3,0,2,0,0,0,0,,,,1,0,Training
5366,24,1,3.257647776,2,7.334741026,2,1,450,278415.0643,0,3,1,4,1,1,0,0,1,1,6,0,2,0,0,0,0,2,1,1,2,0,Training
